episode,p1_wins,p2_wins,draws,avg_game_length,epsilon,loss,q_value_mean,rolling_p1_wr,rolling_p2_wr,rolling_draw_wr,rolling_game_length,rolling_loss
1,0,1,0,50,1.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0
2,1,0,0,27,0.995,0.0,0.0,50.0,50.0,0.0,38.5,0.0
3,1,0,0,48,0.990025,0.0,0.07977624237537384,66.66666666666666,33.33333333333333,0.0,41.666666666666664,0.0
4,1,0,0,72,0.985074875,0.0,0.09354572246472041,75.0,25.0,0.0,49.25,0.0
5,0,1,0,14,0.9801495006250001,0.0,0.0,60.0,40.0,0.0,42.2,0.0
1,0,1,0,29,1.0,0.0,0.0,0.0,100.0,0.0,29.0,0.0
2,0,1,0,60,0.995,0.0,0.13946866989135742,0.0,100.0,0.0,44.5,0.0
3,0,1,0,22,0.990025,0.0,0.0,0.0,100.0,0.0,37.0,0.0
4,0,1,0,34,0.985074875,0.0,0.0,0.0,100.0,0.0,36.25,0.0
5,0,1,0,72,0.9801495006250001,0.0,0.14091134071350098,0.0,100.0,0.0,43.4,0.0
6,1,0,0,53,0.9752487531218751,0.0,0.13383672572672367,16.666666666666664,83.33333333333334,0.0,45.0,0.0
7,1,0,0,21,0.9703725093562657,0.0,0.0,28.57142857142857,71.42857142857143,0.0,41.57142857142857,0.0
8,1,0,0,45,0.9655206468094844,0.0,0.12513985484838486,37.5,62.5,0.0,42.0,0.0
9,0,1,0,59,0.960693043575437,0.0,0.13739147782325745,33.33333333333333,66.66666666666666,0.0,43.888888888888886,0.0
10,0,1,0,30,0.9558895783575597,0.10497220605611801,0.13149971266587576,30.0,70.0,0.0,42.5,0.010497220605611802
11,1,0,0,24,0.9511101304657719,0.0,0.0,36.36363636363637,63.63636363636363,0.0,40.81818181818182,0.009542927823283455
12,1,0,0,43,0.946354579813443,0.0,0.1140145156532526,41.66666666666667,58.333333333333336,0.0,41.0,0.008747683838009834
13,0,1,0,43,0.9416228069143757,0.0,0.10038457065820694,38.46153846153847,61.53846153846154,0.0,41.15384615384615,0.008074785081239847
14,0,1,0,10,0.9369146928798039,0.0,0.0,35.714285714285715,64.28571428571429,0.0,38.92857142857143,0.007498014718294144
15,0,1,0,79,0.9322301194154049,0.0,0.12086297199130058,33.33333333333333,66.66666666666666,0.0,41.6,0.006998147070407868
16,1,0,0,80,0.9275689688183278,0.0,0.10878855735063553,37.5,62.5,0.0,44.0,0.006560762878507376
17,1,0,0,20,0.9229311239742362,0.0,0.0,41.17647058823529,58.82352941176471,0.0,42.588235294117645,0.006174835650359883
18,0,1,0,36,0.918316468354365,0.0,0.07764394953846931,38.88888888888889,61.111111111111114,0.0,42.22222222222222,0.0058317892253398895
19,1,0,0,33,0.9137248860125932,0.0,0.10740844160318375,42.10526315789473,57.89473684210527,0.0,41.73684210526316,0.005524852950322001
20,0,1,0,40,0.9091562615825302,0.0005724867223761976,0.09676173329353333,40.0,60.0,0.0,41.65,0.0052772346389247105
21,0,1,0,79,0.9046104802746175,0.0,0.10324021090160716,38.095238095238095,61.904761904761905,0.0,43.42857142857143,0.005025937751356867
22,0,1,0,27,0.9000874278732445,0.0,0.09203649684786797,36.36363636363637,63.63636363636363,0.0,42.68181818181818,0.0047974860353861
23,0,1,0,43,0.8955869907338783,0.0,0.11323822289705276,34.78260869565217,65.21739130434783,0.0,42.69565217391305,0.0045888996860214875
24,0,1,0,27,0.8911090557802088,0.0,0.0,33.33333333333333,66.66666666666666,0.0,42.041666666666664,0.004397695532437258
25,1,0,0,42,0.8866535105013078,0.0,0.09910148914371218,36.0,64.0,0.0,42.04,0.004221787711139768
26,0,1,0,24,0.8822202429488013,0.0,0.08603037893772125,34.61538461538461,65.38461538461539,0.0,41.34615384615385,0.004059411260711316
27,0,1,0,53,0.8778091417340573,0.0,0.09681798766056697,33.33333333333333,66.66666666666666,0.0,41.77777777777778,0.003909062695499786
28,0,1,0,35,0.8734200960253871,0.0,0.11475875973701477,32.142857142857146,67.85714285714286,0.0,41.535714285714285,0.0037694533135176505
29,1,0,0,36,0.8690529955452602,0.0,0.09845561534166336,34.48275862068966,65.51724137931035,0.0,41.3448275862069,0.0036394721647756622
30,0,1,0,54,0.8647077305675338,0.000911242444999516,0.08799552544951439,33.33333333333333,66.66666666666666,0.0,41.766666666666666,0.0035485311741164575
31,0,1,0,30,0.8603841919146962,0.0,0.10616866747538249,32.25806451612903,67.74193548387096,0.0,41.38709677419355,0.0034340624265643137
32,0,1,0,61,0.8560822709551227,0.0,0.11443993262946606,31.25,68.75,0.0,42.0,0.003326747975734179
33,0,1,0,86,0.851801859600347,0.0,0.10197445331141353,30.303030303030305,69.6969696969697,0.0,43.333333333333336,0.0032259374310149615
34,0,1,0,31,0.8475428503023453,0.0,0.10399588756263256,29.411764705882355,70.58823529411765,0.0,42.970588235294116,0.0031310569183380507
35,0,1,0,55,0.8433051360508336,0.0,0.10377940535545349,28.57142857142857,71.42857142857143,0.0,43.31428571428572,0.003041598149242678
36,1,0,0,18,0.8390886103705794,0.0,0.10771134868264198,30.555555555555557,69.44444444444444,0.0,42.611111111111114,0.0029571093117637145
37,1,0,0,34,0.8348931673187264,0.0,0.1097361408174038,32.432432432432435,67.56756756756756,0.0,42.37837837837838,0.0028771874384728034
38,1,0,0,44,0.8307187014821328,0.0,0.09636020958423615,34.21052631578947,65.78947368421053,0.0,42.421052631578945,0.002801471979565624
39,0,1,0,61,0.8265651079747222,0.0,0.11496810466051102,33.33333333333333,66.66666666666666,0.0,42.8974358974359,0.0027296393647049675
40,1,0,0,61,0.8224322824348486,0.00043497688602656126,0.10465913414955139,35.0,65.0,0.0,43.35,0.002672272802738007
41,1,0,0,50,0.8183201210226743,0.0,0.13082812210688224,36.58536585365854,63.41463414634146,0.0,43.51219512195122,0.002607095417305373
42,1,0,0,50,0.8142285204175609,0.0,0.12615416876294397,38.095238095238095,61.904761904761905,0.0,43.666666666666664,0.00254502171689334
43,1,0,0,36,0.810157377815473,0.0,0.11631746483700615,39.53488372093023,60.46511627906976,0.0,43.48837209302326,0.002485835165337681
44,1,0,0,29,0.8061065909263957,0.0,0.12228948498765628,40.909090909090914,59.09090909090909,0.0,43.15909090909091,0.0024293389115800064
45,1,0,0,72,0.8020760579717637,0.0,0.10836829394102096,42.22222222222222,57.77777777777777,0.0,43.8,0.002375353602433784
46,1,0,0,53,0.798065677681905,0.0,0.10259394513236152,43.47826086956522,56.52173913043478,0.0,44.0,0.0023237154806417452
47,0,1,0,11,0.7940753492934954,0.0,0.11681732907891273,42.5531914893617,57.446808510638306,0.0,43.297872340425535,0.002274274725734474
48,0,1,0,11,0.7901049725470279,0.0,0.0,41.66666666666667,58.333333333333336,0.0,42.625,0.0022268940022816728
49,1,0,0,43,0.7861544476842928,0.0,0.1201881957905633,42.857142857142854,57.14285714285714,0.0,42.63265306122449,0.002181447185908577
50,1,0,0,71,0.7822236754458713,0.036697763949632645,0.11228232429577754,44.0,56.00000000000001,0.0,43.2,0.0028717735211830587
51,1,0,0,35,0.778312557068642,0.0,0.10772965983910994,46.0,54.0,0.0,43.32,0.0028717735211830587
52,1,0,0,51,0.7744209942832988,0.0,0.10902339287779549,48.0,52.0,0.0,43.14,0.0028717735211830587
53,0,1,0,27,0.7705488893118823,0.0,0.12883391790091991,48.0,52.0,0.0,43.24,0.0028717735211830587
54,1,0,0,28,0.7666961448653229,0.0,0.10698972394069035,50.0,50.0,0.0,43.12,0.0028717735211830587
55,0,1,0,47,0.7628626641409962,0.0,0.11714009355221476,50.0,50.0,0.0,42.62,0.0028717735211830587
56,1,0,0,46,0.7590483508202912,0.0,0.0979558415710926,50.0,50.0,0.0,42.48,0.0028717735211830587
57,1,0,0,38,0.7552531090661897,0.0,0.11122150080544609,50.0,50.0,0.0,42.82,0.0028717735211830587
58,0,1,0,63,0.7514768435208588,0.0,0.11663709377700632,48.0,52.0,0.0,43.18,0.0028717735211830587
59,0,1,0,33,0.7477194593032545,0.0,0.11951733486992973,48.0,52.0,0.0,42.66,0.0028717735211830587
60,1,0,0,30,0.7439808620067382,0.026919664815068245,0.10441256633826665,50.0,50.0,0.0,42.66,0.0013107226963620633
61,1,0,0,28,0.7402609576967045,0.0,0.11119222844188864,50.0,50.0,0.0,42.74,0.0013107226963620633
