episode,p1_wins,p2_wins,draws,avg_game_length,epsilon,loss,q_value_mean,rolling_p1_wr,rolling_p2_wr,rolling_draw_wr,rolling_game_length,rolling_loss
1,1,0,0,20,1.0,0.0,0.0,100.0,0.0,0.0,20.0,0.0
2,0,1,0,37,0.997,0.0,-0.05948174372315407,50.0,50.0,0.0,28.5,0.0
3,0,1,0,13,0.994009,0.0,0.0,33.33333333333333,66.66666666666666,0.0,23.333333333333332,0.0
4,1,0,0,49,0.991026973,0.0,0.0,50.0,50.0,0.0,29.75,0.0
5,1,0,0,39,0.988053892081,0.012047911994159222,0.0,60.0,40.0,0.0,31.6,0.0024095823988318442
6,0,1,0,98,0.985089730404757,0.0,-0.03949689120054245,50.0,50.0,0.0,42.666666666666664,0.0020079853323598704
7,0,1,0,63,0.9821344612135428,0.0,0.0,42.857142857142854,57.14285714285714,0.0,45.57142857142857,0.0017211302848798887
8,0,1,0,14,0.9791880578299021,0.0,0.0,37.5,62.5,0.0,41.625,0.0015059889992699027
9,0,1,0,39,0.9762504936564125,0.0,0.0,33.33333333333333,66.66666666666666,0.0,41.333333333333336,0.0013386568882399136
10,0,1,0,49,0.9733217421754432,0.014115323312580585,-0.042724937200546265,30.0,70.0,0.0,42.1,0.0026163235306739807
11,0,1,0,23,0.9704017769489168,0.0,-0.031147118657827377,27.27272727272727,72.72727272727273,0.0,40.36363636363637,0.002378475936976346
12,0,1,0,47,0.9674905716180701,0.0,-0.034993364165226616,25.0,75.0,0.0,40.916666666666664,0.0021802696088949838
13,0,1,0,25,0.9645880999032158,0.0,-0.04190339334309101,23.076923076923077,76.92307692307693,0.0,39.69230769230769,0.0020125565620569084
14,0,1,0,38,0.9616943356035061,0.0,-0.04092811793088913,21.428571428571427,78.57142857142857,0.0,39.57142857142857,0.0018688025219099863
15,0,1,0,18,0.9588092525966956,0.012967322021722794,-0.03223589062690735,20.0,80.0,0.0,38.13333333333333,0.0026087038218975066
16,0,1,0,12,0.9559328248389055,0.0,0.0,18.75,81.25,0.0,36.5,0.0024456598330289125
17,0,1,0,23,0.9530650263643888,0.0,0.0,17.647058823529413,82.35294117647058,0.0,35.705882352941174,0.0023017974899095647
18,0,1,0,48,0.9502058312852957,0.0,-0.038330900172392525,16.666666666666664,83.33333333333334,0.0,36.388888888888886,0.0021739198515812555
